,평균기온,강수량,cold,flu,pneumonia,coronavirus
2019-04-15,10.5,0,0.165,0.76,0.248,0.009
2019-04-16,14,0,0.148,0.669,0.219,0.01
2019-04-17,14.9,0,0.141,0.623,0.203,0.01
2019-04-18,13.6,0,0.134,0.575,0.219,0.01
2019-04-19,11.2,0,0.126,0.509,0.207,0.009
2019-04-20,12.7,0.3,0.1,0.367,0.166,0.009
2019-04-21,14.5,0.258,0.167,0.366,0.151,0.009
2019-04-22,15.9,0,0.144,0.625,0.222,0.013
2019-04-23,17.7,0.736,0.125,0.507,0.212,0.011
2019-04-24,17.2,6.26,0.109,0.398,0.201,0.008
2019-04-25,11.2,8.23,0.106,0.352,0.197,0.01
2019-04-26,7.7,12.521,0.109,0.292,0.187,0.009
2019-04-27,10.4,0.7,0.083,0.203,0.152,0.005
2019-04-28,11.8,0.069,0.105,0.358,0.153,0.004
2019-04-29,11.4,1.2,0.173,0.635,0.223,0.009
2019-04-30,13.7,0.1,0.15,0.487,0.206,0.008
2019-05-01,14.9,0,0.138,0.267,0.176,0.006
2019-05-02,16,0,0.148,0.308,0.208,0.007
2019-05-03,15.7,0,0.134,0.25,0.184,0.007
2019-05-04,16.6,0,0.099,0.198,0.153,0.004
2019-05-05,18.2,0,0.112,0.157,0.132,0.004
2019-05-06,12.5,0.518,0.135,0.183,0.187,0.007
2019-05-07,14.2,0,0.182,0.25,0.247,0.007
2019-05-08,16.4,0,0.169,0.209,0.24,0.009
2019-05-09,17.4,0,0.148,0.175,0.225,0.007
2019-05-10,17.3,0,0.139,0.16,0.206,0.008
2019-05-11,17.9,0,0.136,0.116,0.169,0.007
2019-05-12,17.2,1.5,0.139,0.121,0.155,0.006
2019-05-13,16.4,0.588,0.169,0.181,0.237,0.008
2019-05-14,17.7,0,0.15,0.157,0.224,0.009
2019-05-15,18,0,0.153,0.141,0.217,0.006
2019-05-16,20.1,0,0.145,0.131,0.217,0.006
2019-05-17,21.2,0,0.125,0.116,0.208,0.006
2019-05-18,20.2,1.477,0.115,0.081,0.159,0.006
2019-05-19,18.9,8.775,0.123,0.081,0.149,0.008
2019-05-20,16.8,3.5,0.151,0.115,0.23,0.009
2019-05-21,17.2,0,0.135,0.105,0.205,0.012
2019-05-22,19.4,0,0.142,0.102,0.208,0.01
2019-05-23,20.6,0,0.141,0.098,0.202,0.006
2019-05-24,22.8,0,0.129,0.082,0.189,0.009
2019-05-25,23.3,0,0.107,0.065,0.151,0.007
2019-05-26,23.4,0.4,0.144,0.069,0.144,0.008
2019-05-27,18.2,7.175,0.156,0.098,0.221,0.01
2019-05-28,18,0,0.138,0.086,0.216,0.011
2019-05-29,18.9,0,0.146,0.081,0.206,0.008
2019-05-30,20,0.042,0.143,0.074,0.188,0.009
2019-05-31,18.9,0.14,0.143,0.064,0.185,0.008
2019-06-01,18.8,0,0.131,0.047,0.141,0.007
2019-06-02,19.7,0,0.124,0.058,0.145,0.006
2019-06-03,21.5,1.3,0.147,0.081,0.22,0.01
2019-06-04,22.5,1.4,0.146,0.069,0.19,0.009
2019-06-05,20.9,0,0.136,0.061,0.181,0.009
2019-06-06,19.2,9.27,0.12,0.048,0.145,0.006
2019-06-07,18,39.505,0.133,0.047,0.184,0.007
2019-06-08,19.1,0,0.126,0.044,0.142,0.007
2019-06-09,18.8,3.471,0.134,0.05,0.138,0.006
2019-06-10,17.1,4.484,0.145,0.066,0.185,0.007
2019-06-11,17.5,0.75,0.132,0.062,0.182,0.013
2019-06-12,18.6,0,0.132,0.097,0.176,0.011
2019-06-13,20.7,0,0.119,0.06,0.165,0.011
2019-06-14,20.5,2.083,0.113,0.054,0.157,0.009
2019-06-15,19.1,13.959,0.095,0.035,0.123,0.014
2019-06-16,18.9,2.988,0.105,0.042,0.107,0.006
2019-06-17,20.2,0.1,0.134,0.061,0.168,0.01
2019-06-18,20,8.405,0.113,0.046,0.17,0.007
2019-06-19,21.1,1.378,0.087,0.053,0.167,0.008
2019-06-20,22.3,0,0.078,0.046,0.152,0.008
2019-06-21,20.6,3.058,0.077,0.043,0.148,0.006
2019-06-22,20.6,0,0.06,0.03,0.112,0.005
2019-06-23,21,0.183,0.071,0.038,0.108,0.005
2019-06-24,22,0.227,0.087,0.052,0.161,0.007
2019-06-25,22.8,0,0.071,0.041,0.159,0.006
2019-06-26,22.2,2.894,0.075,0.041,0.15,0.006
2019-06-27,23.3,11.406,0.071,0.036,0.146,0.004
2019-06-28,22.7,0.819,0.059,0.034,0.136,0.005
2019-06-29,21.6,3.12,0.056,0.028,0.108,0.004
2019-06-30,23.1,0.267,0.056,0.032,0.099,0.003
2019-07-01,23.1,0,0.07,0.044,0.158,0.006
2019-07-02,23.1,0,0.067,0.039,0.155,0.006
2019-07-03,22.9,0.675,0.069,0.037,0.142,0.007
2019-07-04,24,0,0.069,0.035,0.133,0.009
2019-07-05,24.7,0.025,0.065,0.029,0.13,0.005
2019-07-06,25.2,1.625,0.052,0.025,0.107,0.003
2019-07-07,23.2,0.688,0.059,0.031,0.095,0.005
2019-07-08,21.8,2.409,0.087,0.043,0.152,0.008
2019-07-09,22,1.057,0.08,0.04,0.137,0.005
2019-07-10,20.3,17.67,0.084,0.038,0.131,0.006
2019-07-11,20.7,28.89,0.083,0.039,0.14,0.007
2019-07-12,22,0.622,0.079,0.035,0.132,0.006
2019-07-13,23.3,11,0.063,0.025,0.097,0.005
2019-07-14,22.9,4.591,0.071,0.029,0.096,0.006
2019-07-15,22.2,10.25,0.096,0.048,0.149,0.007
